freq,unit,vehicle,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC,TRN_BUS_TOT_AVD,DK	19.4 e	19.0 e	18.5 e	18.4 e	18.0 e	17.3 e	12.8 e	13.1 e	18.8 e	18.2 e
A,PC,TRN_BUS_TOT_AVD,EE	16.0 e	17.7 e	20.2 e	19.8 e	19.6 e	20.1 e	11.8 e	10.7 e	14.4 e	16.4 e
A,PC,TRN_BUS_TOT_AVD,EL	18.6 e	18.6 e	18.1 e	17.5 e	17.3 e	17.0 e	13.3 e	12.9 e	15.4 e	15.2 e
A,PC,TRN_BUS_TOT_AVD,ES	17.3 	18.6 	16.3 be	13.6 e	13.8 e	14.0 e	9.7 e	11.7 e	14.5 e	16.1 e
A,PC,TRN_BUS_TOT_AVD,EU27_2020	17.5 be	17.5 e	17.2 be	16.9 e	17.0 e	17.2 e	12.8 e	13.3 e	16.4 e	16.9 e
A,PC,TRN_BUS_TOT_AVD,EU28	17.0 be	17.0 e	16.7 be	16.5 e	16.5 e	17.2 e	: 	: 	: 	: 
A,PC,TRN_BUS_TOT_AVD,FI	14.8 	15.0 	15.4 b	15.8 	15.8 	16.1 	13.0 	12.3 	15.8 	17.0 
A,PC,TRN_BUS_TOT_AVD,FR	15.4 	15.5 	15.4 	15.4 	15.2 	15.6 	12.2 	13.4 	15.5 	16.3 
A,PC,TRN_BUS_TOT_AVD,HR	14.9 	14.1 	15.0 	15.7 	15.2 	15.8 	11.1 	11.2 	14.5 	16.1 
A,PC,TRN_BUS_TOT_AVD,HU	31.4 	30.5 e	30.8 e	30.0 e	28.1 e	27.1 e	21.2 e	20.7 e	23.8 e	24.5 e
A,PC,TRN_BUS_TOT_AVD,IE	17.7 e	16.7 e	16.6 e	17.4 e	18.3 e	18.2 e	13.9 e	14.3 e	18.4 e	20.5 e
A,PC,TRN_BUS_TOT_AVD,IS	11.4 e	11.4 e	11.4 e	11.4 e	11.4 e	11.4 e	11.4 e	11.4 e	11.4 e	12.9 e
A,PC,TRN_BUS_TOT_AVD,IT	19.2 	18.6 	18.0 	17.3 	18.0 	18.0 	15.0 	15.3 	18.3 	16.7 e
A,PC,TRN_BUS_TOT_AVD,LT	11.7 	10.8 	10.1 	8.9 	9.6 	9.4 e	5.8 e	5.3 e	7.1 e	7.9 e
A,PC,TRN_BUS_TOT_AVD,LU	16.4 e	17.1 e	16.9 e	17.1 e	17.1 e	17.4 e	13.4 e	13.7 e	16.9 e	17.3 e
A,PC,TRN_BUS_TOT_AVD,LV	21.0 	19.3 	18.5 	17.3 	17.3 	17.2 	12.3 	11.5 	15.3 	15.8 
A,PC,TRN_BUS_TOT_AVD,ME	4.4 e	4.5 e	4.2 e	3.6 e	3.6 e	3.4 e	1.4 e	1.5 e	2.0 e	2.2 e
A,PC,TRN_BUS_TOT_AVD,MK	27.4 	26.0 	23.0 	22.8 	23.6 	21.4 	6.6 	5.7 	9.0 	7.7 e
A,PC,TRN_BUS_TOT_AVD,MT	16.9 e	17.7 e	17.4 e	17.5 e	17.5 e	18.2 e	13.9 e	14.1 e	17.1 e	17.9 e
A,PC,TRN_BUS_TOT_AVD,NL	14.5 e	13.8 e	14.0 e	14.3 e	14.4 e	14.4 e	9.9 e	10.6 e	14.5 e	14.7 e
A,PC,TRN_BUS_TOT_AVD,NO	10.2 	10.6 e	10.9 e	11.9 e	12.2 e	12.4 e	7.9 e	7.7 e	9.8 e	11.0 e
A,PC,TRN_BUS_TOT_AVD,PL	21.8 e	21.3 e	20.7 e	20.3 e	19.6 e	20.1 e	12.4 e	13.8 e	17.3 e	18.0 e
A,PC,TRN_BUS_TOT_AVD,PT	9.0 e	10.0 e	9.6 e	10.4 e	10.5 e	10.7 e	7.0 e	8.7 e	11.6 e	11.8 e
A,PC,TRN_BUS_TOT_AVD,RO	21.5 e	22.1 e	21.7 e	22.2 e	21.2 e	21.1 e	17.4 e	17.0 e	17.6 e	18.7 e
A,PC,TRN_BUS_TOT_AVD,RS	14.3 e	15.1 e	13.8 e	13.4 e	14.9 e	13.6 e	10.5 e	11.2 e	13.5 e	13.3 e
A,PC,TRN_BUS_TOT_AVD,SE	16.5 e	16.8 e	19.5 e	19.6 e	19.6 e	20.5 e	16.0 e	15.9 e	19.0 e	18.2 e
A,PC,TRN_BUS_TOT_AVD,SI	13.7 e	13.9 e	13.9 e	13.5 e	13.5 e	13.3 e	10.0 e	11.6 e	13.9 e	14.5 e
A,PC,TRN_BUS_TOT_AVD,SK	22.4 e	25.1 e	25.4 e	24.5 e	24.2 e	24.3 e	18.9 e	16.7 e	21.0 e	21.7 e
A,PC,TRN_BUS_TOT_AVD,TR	34.8 	32.1 	29.7 	29.5 e	31.3 	30.2 	25.9 	24.6 e	28.6 e	25.9 
A,PC,TRN_BUS_TOT_AVD,UK	13.8 	13.9 	13.3 	13.6 e	13.2 e	17.3 e	: 	: 	: 	: 
