DATAFLOW,LAST UPDATE,freq,indic_ur,cities,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE071C,2020,55980,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE072C,2020,55847,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE073C,2020,58978,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE074C,2020,53426,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE075C,2020,59232,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE076C,2020,52955,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE077C,2020,50561,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE078C,2020,52803,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE079C,2020,80103,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE080C,2020,498686,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE081C,2020,310658,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE082C,2020,259645,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE083C,2020,315293,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE084C,2020,246334,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE085C,2020,249406,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE086C,2020,248960,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE087C,2020,227417,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE088C,2020,210764,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE089C,2020,216530,,
