route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country,distance_km,operator,type,train_gco2_pkm,plane_gco2_pkm,train_co2_kg,plane_co2_kg,co2_savings_kg,savings_percent,emission_source,calculation_date,train_gco2_pkm_ademe,train_co2_kg_ademe,co2_savings_kg_ademe,rail_modal_share_pct
651A,Berlin Gesundbrunnen,Paris Est,day,Berlin Gesundbrunnen → Paris Est,FR,FR,876.29,SNCF,day,14,144,12.27,126.19,113.92,90.3,Back-on-Track 2022,2026-03-22,0.00297,2.6025812999999998,123.5874187,11.1
ICE 91,Passau Hbf,Berlin Gesundbrunnen,day,Passau → Berlin Gesundbrunnen,DE,DE,442.01,DB,day,14,144,6.19,63.65,57.46,90.3,Back-on-Track 2022,2026-03-22,0.014,6.18814,57.46186,9.9
Berlin Gesundbrunnen → Przemysl Gl.,Berlin Gesundbrunnen,Przemysl Gl,day,Berlin Gesundbrunnen → Przemysl Gl,DE,DE,722.48,RE,day,14,144,10.11,104.04,93.93,90.3,Back-on-Track 2022,2026-03-22,0.014,10.11472,93.92528,9.9
Berlin Gesundbrunnen → Saarbrücken Hbf,Berlin Gesundbrunnen,Saarbrucken Hbf,day,Berlin Gesundbrunnen → Saarbrucken,DE,DE,579.81,DB,day,14,144,8.12,83.49,75.37,90.3,Back-on-Track 2022,2026-03-22,0.014,8.117339999999999,75.37266,9.9
Berlin Gesundbrunnen → Stralsund Hbf,Berlin Gesundbrunnen,Stralsund Hbf,day,Berlin Gesundbrunnen → Stralsund,DE,DE,196.75,DB,day,14,144,2.75,28.33,25.58,90.3,Back-on-Track 2022,2026-03-22,0.014,2.7545,25.575499999999998,9.9
ICE 82,Berlin Gesundbrunnen,Strasbourg,day,Berlin Gesundbrunnen → Strasbourg,DE,FR,594.48,DB,day,14,144,8.32,85.61,77.29,90.3,Back-on-Track 2022,2026-03-22,0.014,8.32272,77.28728,9.9
Berlin Gesundbrunnen → Stuttgart Hbf,Berlin Gesundbrunnen,Stuttgart Hbf,day,Berlin Gesundbrunnen → Stuttgart,DE,DE,512.81,DB,day,14,144,7.18,73.84,66.66,90.3,Back-on-Track 2022,2026-03-22,0.014,7.179339999999999,66.66066000000001,9.9
Warszawa Wschodnia → Berlin Gesundbrunnen,Warszawa Wschodnia,Berlin Gesundbrunnen,night,Warszawa Wschodnia → Berlin Gesundbrunnen,DE,DE,520.75,DB,night,14,144,7.29,74.99,67.7,90.3,Back-on-Track 2022,2026-03-22,0.014,7.2905,67.6995,9.9
Wien Hbf → Berlin Gesundbrunnen,Wien Hbf,Berlin Gesundbrunnen,night,Wien → Berlin Gesundbrunnen,DE,DE,529.39,ÖBB,night,14,144,7.41,76.23,68.82,90.3,Back-on-Track 2022,2026-03-22,0.014,7.41146,68.81854,9.9
Berlin Gesundbrunnen → Zürich HB,Berlin Gesundbrunnen,Zurich Hb,day,Berlin Gesundbrunnen → Zurich Hb,DE,DE,671.1,SBB,day,14,144,9.4,96.64,87.24,90.3,Back-on-Track 2022,2026-03-22,0.014,9.3954,87.2446,9.9
Berlin-Lichtenberg → Moskva Belorusskaja,Berlin Lichtenberg,Moskva Belorusskaja,day,Berlin Lichtenberg → Moskva Belorusskaja,DE,DE,1601.3,DPN,day,14,144,22.42,230.59,208.17,90.3,Back-on-Track 2022,2026-03-22,0.014,22.4182,208.17180000000002,9.9
EC 95,Rzepin,Berlin Lichtenberg,day,Rzepin → Berlin Lichtenberg,DE,DE,91.15,DB,day,14,144,1.28,13.13,11.85,90.3,Back-on-Track 2022,2026-03-22,0.014,1.2761,11.853900000000001,9.9
Bonn Hbf → Berlin Ostbahnhof,Bonn Hbf,Berlin Ostbahnhof,day,Bonn → Berlin Ostbahnhof,DE,DE,479.92,DB,day,14,144,6.72,69.11,62.39,90.3,Back-on-Track 2022,2026-03-22,0.014,6.71888,62.39112,9.9
Berlin Ostbahnhof → Bonn-Bad Godesberg,Berlin Ostbahnhof,Bonn Bad Godesberg,day,Berlin Ostbahnhof → Bonn Bad Godesberg,DE,DE,478.45,DB,day,14,144,6.7,68.9,62.2,90.3,Back-on-Track 2022,2026-03-22,0.014,6.6983,62.2017,9.9
Berlin Ostbahnhof → Calais Ville,Berlin Ostbahnhof,Calais Ville,day,Berlin Ostbahnhof → Calais Ville,DE,DE,815.41,DB,day,14,144,11.42,117.42,106.0,90.3,Back-on-Track 2022,2026-03-22,0.014,11.41574,106.00426,9.9
Berlin Ostbahnhof → Dortmund Hbf,Berlin Ostbahnhof,Dortmund Hbf,day,Berlin Ostbahnhof → Dortmund,DE,DE,423.43,DB,day,14,144,5.93,60.97,55.04,90.3,Back-on-Track 2022,2026-03-22,0.014,5.92802,55.041979999999995,9.9
Berlin Ostbahnhof → Düsseldorf Hbf,Berlin Ostbahnhof,Dusseldorf Hbf,night,Berlin Ostbahnhof → Dusseldorf,DE,DE,477.8,DB,night,14,144,6.69,68.8,62.11,90.3,Back-on-Track 2022,2026-03-22,0.014,6.6892000000000005,62.1108,9.9
Emden Hbf → Berlin Ostbahnhof,Emden Hbf,Berlin Ostbahnhof,day,Emden → Berlin Ostbahnhof,DE,DE,428.73,DB,day,14,144,6.0,61.74,55.74,90.3,Back-on-Track 2022,2026-03-22,0.014,6.00222,55.73778,9.9
Emden Außenhafen → Berlin Ostbahnhof,Emden Auenhafen,Berlin Ostbahnhof,day,Emden Auenhafen → Berlin Ostbahnhof,DE,DE,428.84,DB,day,14,144,6.0,61.75,55.75,90.3,Back-on-Track 2022,2026-03-22,0.014,6.00376,55.74624,9.9
Berlin Ostbahnhof → Essen Hbf,Berlin Ostbahnhof,Essen Hbf,night,Berlin Ostbahnhof → Essen,DE,DE,455.01,DB,night,14,144,6.37,65.52,59.15,90.3,Back-on-Track 2022,2026-03-22,0.014,6.37014,59.14986,9.9
Berlin Ostbahnhof → Frankfurt(M) Flughafen Fernbf,Berlin Ostbahnhof,Frankfurt M Flughafen Fernbf,day,Berlin Ostbahnhof → Frankfurt M Flughafen Fernbf,DE,DE,434.73,DB,day,14,144,6.09,62.6,56.51,90.3,Back-on-Track 2022,2026-03-22,0.014,6.08622,56.513780000000004,9.9
Berlin Ostbahnhof → Frankfurt(Main)Hbf,Berlin Ostbahnhof,Frankfurt Main Hbf,day,Berlin Ostbahnhof → Frankfurt Main,DE,DE,425.75,DB,day,14,144,5.96,61.31,55.35,90.3,Back-on-Track 2022,2026-03-22,0.014,5.9605,55.349500000000006,9.9
Berlin Ostbahnhof → Frankfurt(Main)Süd,Berlin Ostbahnhof,Frankfurt Main Sud,day,Berlin Ostbahnhof → Frankfurt Main Sud,DE,DE,425.09,DB,day,14,144,5.95,61.21,55.26,90.3,Back-on-Track 2022,2026-03-22,0.014,5.9512599999999996,55.25874,9.9
Berlin Ostbahnhof → Freiburg(Breisgau) Hbf,Berlin Ostbahnhof,Freiburg Breisgau Hbf,day,Berlin Ostbahnhof → Freiburg Breisgau,DE,DE,639.87,DB,day,14,144,8.96,92.14,83.18,90.3,Back-on-Track 2022,2026-03-22,0.014,8.95818,83.18182,9.9
ICE 23,Hamburg Hbf,Berlin Ostbahnhof,day,Hamburg → Berlin Ostbahnhof,DE,DE,256.82,DB,day,14,144,3.6,36.98,33.38,90.3,Back-on-Track 2022,2026-03-22,0.014,3.59548,33.384519999999995,9.9
ICE 23,Hamburg Altona S,Berlin Ostbahnhof,day,Hamburg Altona S → Berlin Ostbahnhof,DE,DE,261.1,DB,day,14,144,3.66,37.6,33.94,90.3,Back-on-Track 2022,2026-03-22,0.014,3.6554,33.9446,9.9
Hannover Hbf → Berlin Ostbahnhof,Hannover Hbf,Berlin Ostbahnhof,night,Hannover → Berlin Ostbahnhof,DE,DE,250.76,DB,night,14,144,3.51,36.11,32.6,90.3,Back-on-Track 2022,2026-03-22,0.014,3.51064,32.59936,9.9
Berlin Ostbahnhof → Interlaken Ost,Berlin Ostbahnhof,Interlaken Ost,night,Berlin Ostbahnhof → Interlaken Ost,DE,DE,760.86,SBB,night,14,144,10.65,109.56,98.91,90.3,Back-on-Track 2022,2026-03-22,0.014,10.652040000000001,98.90796,9.9
Berlin Ostbahnhof → Karlsruhe Hbf,Berlin Ostbahnhof,Karlsruhe Hbf,night,Berlin Ostbahnhof → Karlsruhe,DE,DE,527.27,DB,night,14,144,7.38,75.93,68.55,90.3,Back-on-Track 2022,2026-03-22,0.014,7.38178,68.54822,9.9
Koblenz Hbf → Berlin Ostbahnhof,Koblenz Hbf,Berlin Ostbahnhof,night,Koblenz → Berlin Ostbahnhof,DE,DE,470.89,DB,night,14,144,6.59,67.81,61.22,90.3,Back-on-Track 2022,2026-03-22,0.014,6.59246,61.21754,9.9
Berlin Ostbahnhof → Köln Hbf,Berlin Ostbahnhof,Koln Hbf,night,Berlin Ostbahnhof → Koln,DE,DE,478.67,DB,night,14,144,6.7,68.93,62.23,90.3,Back-on-Track 2022,2026-03-22,0.014,6.70138,62.22862000000001,9.9
Köln/Bonn Flughafen → Berlin Ostbahnhof,Koln Bonn Flughafen,Berlin Ostbahnhof,day,Koln Bonn Flughafen → Berlin Ostbahnhof,DE,DE,471.37,DB,day,14,144,6.6,67.88,61.28,90.3,Back-on-Track 2022,2026-03-22,0.014,6.5991800000000005,61.28081999999999,9.9
